aback,0,0,0,0,0,0,0,0,0,0,8
abacus,0,0,0,0,0,0,0,0,0,1,8
abandon,0,1,0,0,0,1,0,1,0,0,1
abandoned,0,1,1,0,0,1,0,1,0,0,1
abandonment,0,1,1,0,0,1,0,1,1,0,1
abate,0,0,0,0,0,0,0,0,0,0,8
abatement,0,0,0,0,0,0,0,0,0,0,8
abba,1,0,0,0,0,0,0,0,0,0,0
abbot,0,0,0,0,0,0,0,0,0,1,8
abbreviate,0,0,0,0,0,0,0,0,0,0,8
abbreviation,0,0,0,0,0,0,0,0,0,0,8
abdomen,0,0,0,0,0,0,0,0,0,0,8
abdominal,0,0,0,0,0,0,0,0,0,0,8
abduction,0,1,0,0,0,1,0,1,1,0,1
aberrant,0,1,0,0,0,0,0,0,0,0,1
aberration,0,1,0,0,1,0,0,0,0,0,1
abeyance,0,0,0,0,0,0,0,0,0,0,8
abhor,0,1,1,0,1,1,0,0,0,0,1
abhorrent,0,1,1,0,1,1,0,0,0,0,1
abide,0,0,0,0,0,0,0,0,0,0,8
ability,1,0,0,0,0,0,0,0,0,0,0
abject,0,1,0,0,1,0,0,0,0,0,1
ablation,0,0,0,0,0,0,0,0,0,0,8
ablaze,0,0,0,0,0,0,0,0,0,0,8
abnormal,0,1,0,0,1,0,0,0,0,0,1
aboard,0,0,0,0,0,0,0,0,0,0,8
abode,0,0,0,0,0,0,0,0,0,0,8
abolish,0,1,1,0,0,0,0,0,0,0,1
abolition,0,1,0,0,0,0,0,0,0,0,1
abominable,0,1,0,0,1,1,0,0,0,0,1
abomination,0,1,1,0,1,1,0,0,0,0,1
aboriginal,0,0,0,0,0,0,0,0,0,0,8
abort,0,1,0,0,0,0,0,0,0,0,1
abortion,0,1,0,0,1,1,0,1,0,0,1
abortive,0,1,0,0,0,0,0,1,0,0,1
abound,0,0,0,0,0,0,0,0,0,0,8
abovementioned,1,0,0,0,0,0,0,0,0,0,0
abrasion,0,1,0,0,0,0,0,0,0,0,1
abroad,0,0,0,0,0,0,0,0,0,0,8
abrogate,0,1,0,0,0,0,0,0,0,0,1
abrupt,0,0,0,0,0,0,0,0,1,0,8
abruptly,0,0,0,0,0,0,0,0,0,0,8
abscess,0,1,0,0,0,0,0,1,0,0,1
absence,0,1,0,0,0,1,0,1,0,0,1
absent,0,1,0,0,0,0,0,1,0,0,1
absentee,0,1,0,0,0,0,0,1,0,0,1
absenteeism,0,1,0,0,0,0,0,0,0,0,1
absinthe,0,0,0,0,0,0,0,0,0,0,8
absolute,1,0,0,0,0,0,0,0,0,0,0
absolution,1,0,0,0,0,0,1,0,0,1,0
absorbed,1,0,0,0,0,0,0,0,0,0,0
absorbent,0,0,0,0,0,0,0,0,0,0,8
absorbing,0,0,0,0,0,0,0,0,0,0,8
absorption,0,0,0,0,0,0,0,0,0,0,8
abstain,0,0,0,0,0,0,0,0,0,0,8
abstention,0,0,0,0,0,0,0,0,0,0,8
abstinence,0,0,0,0,0,0,0,0,0,0,8
abstract,0,0,0,0,0,0,0,0,0,0,8
abstraction,0,0,0,0,0,0,0,0,0,0,8
absurd,0,1,0,0,0,0,0,0,0,0,1
absurdity,0,1,0,0,0,0,0,0,0,0,1
abundance,1,1,0,1,1,0,1,0,0,1,0
abundant,1,0,0,0,0,0,1,0,0,0,0
abuse,0,1,1,0,1,1,0,1,0,0,1
abutment,0,0,0,0,0,0,0,0,0,0,8
aby,0,0,0,0,0,0,0,0,0,0,8
abysmal,0,1,0,0,0,0,0,1,0,0,1
abyss,0,1,0,0,0,1,0,1,0,0,1
academic,1,0,0,0,0,0,0,0,0,1,0
academy,1,0,0,0,0,0,0,0,0,0,0
accede,0,0,0,0,0,0,0,0,0,0,8
accelerate,0,0,0,1,0,0,0,0,0,0,3
acceleration,0,0,0,0,0,0,0,0,0,0,8
accent,0,0,0,0,0,0,0,0,0,0,8
accentuate,0,0,0,0,0,0,0,0,0,0,8
accept,0,0,0,0,0,0,0,0,0,0,8
acceptable,1,0,0,0,0,0,0,0,0,0,0
acceptance,1,0,0,0,0,0,0,0,0,0,0
access,0,0,0,0,0,0,0,0,0,0,8
accessible,1,0,0,0,0,0,0,0,0,0,0
accession,0,0,0,0,0,0,0,0,0,0,8
accessory,0,0,0,0,0,0,0,0,0,0,8
accident,0,1,0,0,0,1,0,1,1,0,1
accidental,0,1,0,0,0,1,0,0,1,0,1
accidentally,0,0,0,0,0,0,0,0,1,0,8
accolade,1,0,0,1,0,0,1,0,1,1,0
accommodate,0,0,0,0,0,0,0,0,0,0,8
accommodation,1,0,0,0,0,0,0,0,0,0,0
accompaniment,1,0,0,1,0,0,1,0,0,1,0
accompany,0,0,0,0,0,0,0,0,0,0,8
accompanying,0,0,0,0,0,0,0,0,0,0,8
accomplice,0,0,0,0,0,0,0,0,0,0,8
accomplish,1,0,0,0,0,0,1,0,0,0,0
accomplished,1,0,0,0,0,0,1,0,0,0,0
accomplishment,1,0,0,0,0,0,0,0,0,0,0
accord,1,0,0,0,0,0,0,0,0,1,0
accordance,0,0,0,0,0,0,0,0,0,0,8
accordion,0,0,0,0,0,0,0,0,0,0,8
account,0,0,0,0,0,0,0,0,0,1,8
accountability,1,0,0,0,0,0,0,0,0,1,0
accountable,1,0,0,0,0,0,0,0,0,1,0
accountant,0,0,0,0,0,0,0,0,0,1,8
accounting,0,0,0,0,0,0,0,0,0,0,8
accounts,0,0,0,0,0,0,0,0,0,1,8
accredited,1,0,0,0,0,0,0,0,0,1,0
accretion,0,0,0,0,0,0,0,0,0,0,8
accrue,0,0,0,0,0,0,0,0,0,0,8
accueil,1,0,0,0,0,0,0,0,0,0,0
accumulate,0,0,0,0,0,0,0,0,0,0,8
accumulation,0,0,0,0,0,0,0,0,0,0,8
accuracy,0,0,0,0,0,0,0,0,0,0,8
accurate,1,0,0,0,0,0,0,0,0,1,0
accursed,0,1,1,0,0,1,0,1,0,0,1
accusation,0,1,1,0,1,0,0,0,0,0,1
accusative,0,1,0,0,0,0,0,0,0,0,1
accused,0,1,1,0,0,1,0,0,0,0,1
accuser,0,1,1,0,0,1,0,0,0,0,1
accusing,0,1,1,0,0,1,0,0,0,0,1
accustomed,0,0,0,0,0,0,0,0,0,0,8
ace,1,0,0,0,0,0,0,0,0,0,0
acetic,0,0,0,0,0,0,0,0,0,0,8
ache,0,1,0,0,0,0,0,1,0,0,1
achieve,1,0,0,0,0,0,1,0,0,1,0
achievement,1,0,0,1,0,0,1,0,0,1,0
aching,0,1,0,0,0,0,0,1,0,0,1
acid,0,1,0,0,0,0,0,0,0,0,1
acidity,0,0,0,0,0,0,0,0,0,0,8
acknowledge,0,0,0,0,0,0,0,0,0,0,8
acknowledged,0,0,0,0,0,0,0,0,0,0,8
acknowledgment,1,0,0,0,0,0,0,0,0,0,0
acme,0,0,0,0,0,0,0,0,0,0,8
acoustic,0,0,0,0,0,0,0,0,0,0,8
acoustics,0,0,0,0,0,0,0,0,0,0,8
acquaint,0,0,0,0,0,0,0,0,0,0,8
acquaintance,0,0,0,0,0,0,0,0,0,0,8
acquainted,0,0,0,0,0,0,0,0,0,0,8
acquiescence,0,0,0,0,0,0,0,0,0,0,8
acquire,1,0,0,0,0,0,0,0,0,0,0
acquiring,1,0,0,1,0,0,0,0,0,0,0
acquisition,0,0,0,0,0,0,0,0,0,0,8
acquisitions,0,0,0,0,0,0,0,0,0,0,8
acreage,0,0,0,0,0,0,0,0,0,0,8
